fen,move_uci
r3kbnr/ppp1p2p/3qp1p1/3pQ3/3P4/3b4/PP3PPP/nNBK2NR w kq - 2 11,e5h8
r3kbnQ/ppp1p2p/2q1p1p1/3p4/3P4/3b4/PP3PPP/nNBK2NR w q - 1 12,h8g8
r3kbQ1/ppp1p2p/4p1p1/3p4/3P4/3b4/PPq2PPP/nNBK2NR w q - 1 13,d1e1
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,d7d5
rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 1 2,e7e6
rnbqkbnr/ppp2ppp/4p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 3,c7c5
rnbqkbnr/pp3ppp/4p3/2pP4/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 4,e6d5
rnbqkbnr/pp3ppp/8/2Pp4/8/2N5/PPP2PPP/R1BQKBNR b KQkq - 0 5,f8c5
rnbqk1nr/pp3ppp/8/2bN4/8/8/PPP2PPP/R1BQKBNR b KQkq - 0 6,g8f6
rnbqk2r/pp3ppp/5N2/2b5/8/8/PPP2PPP/R1BQKBNR b KQkq - 0 7,d8f6
rnb1k2r/pp3ppp/5q2/2b5/8/5N2/PPP2PPP/R1BQKB1R b KQkq - 1 8,c8g4
rn2k2r/pp3ppp/5q2/2b5/6b1/5N1P/PPP2PP1/R1BQKB1R b KQkq - 0 9,g4f3
rn2k2r/pp3ppp/5q2/2b5/8/5P1P/PPP2P2/R1BQKB1R b KQkq - 0 10,e8g8
rn3rk1/pp3ppp/5q2/2b5/8/4BP1P/PPP2P2/R2QKB1R b KQ - 2 11,f8e8
rn2r1k1/pp3ppp/5q2/2b5/8/4BP1P/PPP1BP2/R2QK2R b KQ - 4 12,c5e3
rn2r1k1/pp3ppp/5q2/8/8/4PP1P/PPP1B3/R2QK2R b KQ - 0 13,e8e3
rn4k1/pp3ppp/5q2/8/8/4rP1P/PPPQB3/R3K2R b KQ - 1 14,f6f3
rn4k1/pp3ppp/8/8/8/4rq1P/PPPQB3/3RK2R b K - 1 15,f3h1
rn4k1/pp3ppp/8/8/8/4r2P/PPPQBK2/3R3q b - - 1 16,h1h2
rn4k1/pp3ppp/8/8/8/4K2P/PPPQB2q/3R4 b - - 0 17,h2h3
rn4k1/pp3ppp/8/8/8/7q/PPPQBK2/3R4 b - - 1 18,b8c6
r5k1/pp3ppp/2n5/8/8/5B1q/PPPQ1K2/3R4 b - - 3 19,c6e5
r5k1/pB3ppp/8/4n3/8/7q/PPPQ1K2/3R4 b - - 0 20,h3h4
r5k1/pB3ppp/8/4n3/7q/4K3/PPPQ4/3R4 b - - 2 21,e5c4
r5k1/pB3ppp/8/8/2n4q/3K4/PPPQ4/3R4 b - - 4 22,c4d2
r5k1/pB3ppp/8/8/7q/8/PPPK4/3R4 b - - 0 23,a8d8
3r2k1/pB3ppp/8/8/7q/8/PPP1K3/3R4 b - - 2 24,h4e4
3r2k1/pB3ppp/8/8/4q3/8/PPP2K2/3R4 b - - 4 25,e4b7
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,e7e5
rnbqkbnr/pppp1ppp/8/4N3/8/8/PPPPPPPP/RNBQKB1R b KQkq - 0 2,d7d6
rnbqkbnr/ppp2ppp/3p4/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 3,c8f5
rn1qkbnr/ppp2ppp/3p4/5b2/8/3P1N2/PPP1PPPP/RNBQKB1R b KQkq - 0 4,d6d5
rn1qkbnr/ppp2ppp/8/3p1b2/8/2NP1N2/PPP1PPPP/R1BQKB1R b KQkq - 1 5,d5d4
rn1qkbnr/ppp2ppp/8/1N3b2/3p4/3P1N2/PPP1PPPP/R1BQKB1R b KQkq - 1 6,f8b4
rn1qk1nr/ppp2ppp/8/1N3b2/1b1p4/3P1N2/PPPBPPPP/R2QKB1R b KQkq - 3 7,b4d2
rn1qk1nr/ppp2ppp/8/1N3b2/3p4/3P1N2/PPPQPPPP/R3KB1R b KQkq - 0 8,f5g4
rn1qk1nr/ppp2ppp/8/8/3N2b1/3P1N2/PPPQPPPP/R3KB1R b KQkq - 0 9,g4f3
rn1qk1nr/ppp2ppp/8/8/8/3P1N2/PPPQPPPP/R3KB1R b KQkq - 0 10,d8f6
rn2k1nr/ppp2ppp/5q2/8/8/2PP1N2/PP1QPPPP/R3KB1R b KQkq - 0 11,b8c6
r3k1nr/ppp2ppp/2n2q2/8/4P3/2PP1N2/PP1Q1PPP/R3KB1R b KQkq - 0 12,c6e5
r3k1nr/ppp2ppp/5q2/4N3/4P3/2PP4/PP1Q1PPP/R3KB1R b KQkq - 0 13,f6e5
r3k1nr/ppp2ppp/8/4q3/4P3/2PP4/PP1QBPPP/R3K2R b KQkq - 1 14,g8f6
r3k2r/ppp2ppp/5n2/4q3/4P3/2PP4/PP1QBPPP/R4RK1 b kq - 3 15,h7h5
r3k2r/ppp2pp1/5n2/4q2p/4P3/2PPQ3/PP2BPPP/R4RK1 b kq - 1 16,f6g4
r3k2r/ppp2pp1/8/4q2p/4P1B1/2PPQ3/PP3PPP/R4RK1 b kq - 0 17,h5g4
r3k2r/ppp2pp1/8/4q3/4P1p1/2PPQ3/PP3PPP/3R1RK1 b kq - 1 18,e5h2
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d3
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 1 3,f2f4
r1bqkbnr/pppp2pp/2n2p2/4p3/4PP2/3P4/PPP3PP/RNBQKBNR w KQkq - 0 4,f4f5
r1bqk1nr/pppp2pp/2n2p2/4pP2/1b2P3/3P4/PPP3PP/RNBQKBNR w KQkq - 1 5,c2c3
r1bqk1nr/ppppb1pp/2n2p2/4pP2/4P3/2PP4/PP4PP/RNBQKBNR w KQkq - 1 6,c3c4
r1bqk1nr/1pppb1pp/p1n2p2/4pP2/2P1P3/3P4/PP4PP/RNBQKBNR w KQkq - 0 7,c1d2
r1bqk1nr/1pppb1pp/p4p2/4pP2/2PnP3/3P4/PP1B2PP/RN1QKBNR w KQkq - 2 8,d1h5
r1bqk1nr/1pppb2p/p4pp1/4pP1Q/2PnP3/3P4/PP1B2PP/RN2KBNR w KQkq - 0 9,f5g6
r1bqk1nr/1pppb3/p4pPp/4p2Q/2PnP3/3P4/PP1B2PP/RN2KBNR w KQkq - 0 10,g6g7
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e7e5
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,f7f6
rnbqkbnr/pppp2pp/5p2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 1 3,g8e7
rnbqkb1r/ppppn1pp/5p2/4p3/2B1P3/5N2/PPPP1PPP/RNBQ1K1R b kq - 3 4,d7d5
rnbqkb1r/ppp1n1pp/5p2/3Pp3/2B5/5N2/PPPP1PPP/RNBQ1K1R b kq - 0 5,e7d5
rnbqkb1r/ppp3pp/5p2/3np3/2BP4/5N2/PPP2PPP/RNBQ1K1R b kq - 0 6,d5b6
rnbqkb1r/ppp3pp/1n3p2/1B2p3/3P4/5N2/PPP2PPP/RNBQ1K1R b kq - 2 7,c7c6
rnbqkb1r/pp4pp/1np2p2/4p3/B2P4/5N2/PPP2PPP/RNBQ1K1R b kq - 1 8,e5e4
rnbqkb1r/pp4pp/1np2p2/8/B2Pp2N/8/PPP2PPP/RNBQ1K1R b kq - 1 9,b6c4
rnbqkb1r/pp4pp/2p2p2/8/B1nPp2N/2N5/PPP2PPP/R1BQ1K1R b kq - 3 10,b7b5
rnbqkb1r/p5pp/2p2p2/1p6/2nPp2N/1BN5/PPP2PPP/R1BQ1K1R b kq - 1 11,c6c5
rnbqkb1r/p5pp/5p2/1pP5/2n1p2N/1BN5/PPP2PPP/R1BQ1K1R b kq - 0 12,f8c5
rnbqk2r/p5pp/5p2/1pb5/2n1p1PN/1BN5/PPP2P1P/R1BQ1K1R b kq - 0 13,e4e3
rnbqk2r/p5pp/5p2/1pb5/2n2PPN/1BN1p3/PPP4P/R1BQ1K1R b kq - 0 14,c5b4
rnbqk2r/p5pp/5p2/1N6/1bn2PPN/1B2p3/PPP4P/R1BQ1K1R b kq - 0 15,d8d1
rnb1k2r/p5pp/5p2/1N6/1bn2PPN/1B2p3/PPP3KP/R1Bq3R b kq - 1 16,d1d5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d3
rnbqkbnr/pppp1pp1/7p/4p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 0 3,f2f4
rnbqkbnr/ppp2pp1/3p3p/4p3/4PP2/3P4/PPP3PP/RNBQKBNR w KQkq - 0 4,f4f5
rnbqk1nr/ppp1bpp1/3p3p/4pP2/4P3/3P4/PPP3PP/RNBQKBNR w KQkq - 1 5,g2g4
rnbqk1nr/pp2bpp1/3p3p/2p1pP2/4P1P1/3P4/PPP4P/RNBQKBNR w KQkq - 0 6,g1f3
r1bqk1nr/pp2bpp1/2np3p/2p1pP2/4P1P1/3P1N2/PPP4P/RNBQKB1R w KQkq - 2 7,g4g5
r1bqk1nr/pp3pp1/2np3p/2p1pPb1/4P3/3P1N2/PPP4P/RNBQKB1R w KQkq - 0 8,f3g5
r1bqk1nr/pp3pp1/2np4/2p1pPp1/4P3/3P4/PPP4P/RNBQKB1R w KQkq - 0 9,d3d4
r1bqk1nr/pp3pp1/2np4/4pPp1/3pP3/8/PPP4P/RNBQKB1R w KQkq - 0 10,f1b5
r2qk1nr/pp1b1pp1/2np4/1B2pPp1/3pP3/8/PPP4P/RNBQK2R w KQkq - 2 11,h1g1
r2qk1nr/pp1b2p1/2np1p2/1B2pPp1/3pP3/8/PPP4P/RNBQK1R1 w Qkq - 0 12,h2h4
r2qk1n1/pp1b2p1/2np1p2/1B2pPp1/3pP2r/8/PPP5/RNBQK1R1 w Qq - 0 13,b5c6
r2qk1n1/pp4p1/2bp1p2/4pPp1/3pP2r/8/PPP5/RNBQK1R1 w Qq - 0 14,c2c3
r2qk1n1/pp4p1/3p1p2/4pPp1/3pb2r/2P5/PP6/RNBQK1R1 w Qq - 0 15,d1b3
r3k1n1/ppq3p1/3p1p2/4pPp1/3pb2r/1QP5/PP6/RNB1K1R1 w Qq - 2 16,b1d2
r3k3/ppq1n1p1/3p1p2/4pPp1/3pb2r/1QP5/PP1N4/R1B1K1R1 w Qq - 4 17,e1d1
r3k3/ppq3p1/2np1p2/4pPp1/3pb2r/1QP5/PP1N4/R1BK2R1 w q - 6 18,d2e4
r3k3/ppq3p1/2np1p2/4pPp1/3pr3/1QP5/PP6/R1BK2R1 w q - 0 19,g1h1
2kr4/ppq3p1/2np1p2/4pPp1/3pr3/1QP5/PP6/R1BK3R w - - 2 20,c3d4
2kr4/ppq3p1/2np1p2/4pPp1/3r4/1Q6/PP6/R1BK3R w - - 0 21,c1d2
2kr4/1pq3p1/p1np1p2/4pPp1/3r4/1Q6/PP1B4/R2K3R w - - 0 22,h1h7
1k1r4/1pq3pR/p1np1p2/4pPp1/3r4/1Q6/PP1B4/R2K4 w - - 2 23,d1c1
1k1r4/1pq3pR/p2p1p2/n3pPp1/3r4/1Q6/PP1B4/R1K5 w - - 4 24,b3c2
1k1r4/1pq3pR/p1np1p2/4pPp1/3r4/8/PPQB4/R1K5 w - - 6 25,c1b1
1kr5/1pq3pR/p1np1p2/4pPp1/3r4/8/PPQB4/RK6 w - - 8 26,c2b3
1kr5/1pq3pR/p1np1p2/4pPp1/8/1Q6/PP1r4/RK6 w - - 0 27,a2a4
1kr5/1pq3pR/p2p1p2/4pPp1/P2n4/1Q6/1P1r4/RK6 w - - 1 28,b3d5
1kr5/1p4pR/p2p1p2/3QpPp1/P2n4/8/1P1r4/RKq5 w - - 3 29,b1a2
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d3
rnb1kbnr/ppppqppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 1 3,f2f4
rnb1kbnr/ppppqppp/8/8/4Pp2/3P4/PPP3PP/RNBQKBNR w KQkq - 0 4,c1f4
rnb1kbnr/pppp1ppp/5q2/8/4PB2/3P4/PPP3PP/RN1QKBNR w KQkq - 1 5,f1e2
rnb1kbnr/pppp1ppp/8/8/4Pq2/3P4/PPP1B1PP/RN1QK1NR w KQkq - 0 6,g1h3
rnb1kbnr/pppp1ppp/5q2/8/4P3/3P3N/PPP1B1PP/RN1QK2R w KQkq - 2 7,h1f1
rnb1kbnr/pppp1ppp/3q4/8/4P3/3P3N/PPP1B1PP/RN1QKR2 w Qkq - 4 8,e2g4
rnb1kbnr/pppp1ppp/1q6/8/4P1B1/3P3N/PPP3PP/RN1QKR2 w Qkq - 6 9,d1f3
rnb1kbnr/ppp2ppp/1q1p4/8/4P1B1/3P1Q1N/PPP3PP/RN2KR2 w Qkq - 0 10,f3f7
rnbk1bnr/ppp2Qpp/1q1p4/8/4P1B1/3P3N/PPP3PP/RN2KR2 w Q - 1 11,f7f8
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d3
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 1 3,f2f4
r1bqkbnr/pppp1ppp/8/4p3/3nPP2/3P4/PPP3PP/RNBQKBNR w KQkq - 1 4,f4f5
r1bqkbnr/pppp1p1p/6p1/4pP2/3nP3/3P4/PPP3PP/RNBQKBNR w KQkq - 0 5,g1f3
r1bqkbnr/pppp1p1p/6p1/4pP2/4P3/3P1n2/PPP3PP/RNBQKB1R w KQkq - 0 6,d1f3
r1bqkbnr/pppp1p1p/8/4pp2/4P3/3P1Q2/PPP3PP/RNB1KB1R w KQkq - 0 7,f3f5
r1bqkbnr/pppp3p/5p2/4pQ2/4P3/3P4/PPP3PP/RNB1KB1R w KQkq - 0 8,c1g5
r1bqkbnr/pppp3p/8/4pQp1/4P3/3P4/PPP3PP/RN2KB1R w KQkq - 0 9,f5e5
r1bq1bnr/pppp1k1p/8/4Q1p1/4P3/3P4/PPP3PP/RN2KB1R w KQ - 1 10,e5h8
r1bq1b1Q/ppppnk1p/8/6p1/4P3/3P4/PPP3PP/RN2KB1R w KQ - 1 11,e4e5
r1b1qb1Q/ppppnk1p/8/4P1p1/8/3P4/PPP3PP/RN2KB1R w KQ - 1 12,f1e2
r1b1q2Q/ppppnkbp/8/4P1p1/8/3P4/PPP1B1PP/RN2K2R w KQ - 3 13,e2h5
r1b1q2Q/pppp1kbp/6n1/4P1pB/8/3P4/PPP3PP/RN2K2R w KQ - 5 14,h5g6
r1b1q2Q/pppp2bp/6k1/4P1p1/8/3P4/PPP3PP/RN2K2R w KQ - 0 15,h8e8
r1b1Q3/pppp2bp/8/4Pkp1/8/3P4/PPP3PP/RN2K2R w KQ - 1 16,g2g4
r1b1Q3/pppp2bp/8/4P1p1/6k1/3P4/PPP4P/RN2K2R w KQ - 0 17,h1g1
r1b1Q3/pppp2bp/8/4P1p1/8/3P3k/PPP4P/RN2K1R1 w Q - 2 18,e8h5
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d3
rnbqk1nr/pppp1ppp/8/2b1p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 1 3,f2f4
rnbqk2r/pppp1ppp/5n2/2b1p3/4PP2/3P4/PPP3PP/RNBQKBNR w KQkq - 1 4,f4f5
rnbqk2r/pppp1ppp/8/2b1pP2/4n3/3P4/PPP3PP/RNBQKBNR w KQkq - 0 5,d3e4
rnb1k2r/pppp1ppp/8/2b1pP2/4P2q/8/PPP3PP/RNBQKBNR w KQkq - 1 6,g2g3
rnb1k2r/pppp1ppp/8/2b1pP2/4q3/6P1/PPP4P/RNBQKBNR w KQkq - 0 7,g1e2
rnb1k2r/pppp1ppp/8/2b1pP2/8/5qP1/PPP1N2P/RNBQKB1R w KQkq - 2 8,h1g1
rnb1k2r/pppp1ppp/8/2b1pP2/8/6P1/PPP1Nq1P/RNBQKBR1 w Qkq - 4 9,e1d2
rnb1k2r/pppp1ppp/8/4pP2/8/4b1P1/PPPKNq1P/RNBQ1BR1 w kq - 6 10,d2c3
rnb1k2r/pppp1ppp/8/4pP2/8/2K1b1P1/PPP1N2P/RNBQ1Bq1 w kq - 0 11,c1e3
rnb1k2r/pppp1ppp/8/4pP2/8/2K1q1P1/PPP1N2P/RN1Q1B2 w kq - 0 12,c3b4
rnb1k2r/1ppp1ppp/8/p3pP2/1K6/4q1P1/PPP1N2P/RN1Q1B2 w kq - 0 13,b4a4
rnb1k2r/2pp1ppp/8/pp2pP2/K7/4q1P1/PPP1N2P/RN1Q1B2 w kq - 0 14,a4b5
rnb1k2r/3p1ppp/2p5/pK2pP2/8/4q1P1/PPP1N2P/RN1Q1B2 w kq - 0 15,b5a4
rnb1k2r/3p1ppp/2p5/p3pP2/K3q3/6P1/PPP1N2P/RN1Q1B2 w kq - 2 16,c2c4
rnb1k2r/3p1ppp/2p5/p3pP2/K1q5/6P1/PP2N2P/RN1Q1B2 w kq - 0 17,a4a3
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,d2d3
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 0 3,f2f4
rnbqkb1r/ppp2ppp/3p1n2/4p3/4PP2/3P4/PPP3PP/RNBQKBNR w KQkq - 1 4,f4f5
rnbqkb1r/ppp2ppp/3p4/4pP2/4P1n1/3P4/PPP3PP/RNBQKBNR w KQkq - 1 5,g1f3
r1bqkb1r/ppp2ppp/2np4/4pP2/4P1n1/3P1N2/PPP3PP/RNBQKB1R w KQkq - 3 6,c1g5
r1bqk2r/ppp1bppp/2np4/4pPB1/4P1n1/3P1N2/PPP3PP/RN1QKB1R w KQkq - 5 7,g2g3
r1bqk2r/ppp2ppp/2np4/4pPb1/4P1n1/3P1NP1/PPP4P/RN1QKB1R w KQkq - 0 8,f1h3
r1bqk2r/ppp2ppp/2np4/4pPb1/4P3/3PnNPB/PPP4P/RN1QK2R w KQkq - 2 9,d1d2
r1bqk2r/ppp3pp/2np1p2/4pPb1/4P3/3PnNPB/PPPQ3P/RN2K2R w KQkq - 0 10,f3g5
r1bqk2r/ppp3pp/2np4/4pPp1/4P3/3Pn1PB/PPPQ3P/RN2K2R w KQkq - 0 11,d2e3
r2qk2r/ppp3pp/2npb3/4pPp1/4P3/3PQ1PB/PPP4P/RN2K2R w KQkq - 1 12,e3f3
r2qk2r/ppp2bpp/2np4/4pPp1/4P3/3P1QPB/PPP4P/RN2K2R w KQkq - 3 13,b1c3
r2qk2r/ppp2bpp/3p4/4pPp1/1n2P3/2NP1QPB/PPP4P/R3K2R w KQkq - 5 14,e1c1
r2qk2r/pp3bpp/3p4/2p1pPp1/1n2P3/2NP1QPB/PPP4P/2KR3R w kq - 0 15,c3d5
r2qk2r/pp4pp/3p4/2pbpPp1/1n2P3/3P1QPB/PPP4P/2KR3R w kq - 0 16,e4d5
r2q1rk1/pp4pp/3p4/2pPpPp1/1n6/3P1QPB/PPP4P/2KR3R w - - 1 17,f5f6
r4rk1/pp4pp/3p1q2/2pPp1p1/1n6/3P1QPB/PPP4P/2KR3R w - - 0 18,h3f5
r4rk1/pp4pp/3p4/2pPpqp1/1n6/3P1QP1/PPP4P/2KR3R w - - 0 19,f3h5
r4rk1/pp4pp/3p4/2pPpqpQ/8/3P2P1/nPP4P/2KR3R w - - 0 20,c1b1
r4rk1/pp4pp/3p4/2pPp1pQ/8/3P2P1/nPP2q1P/1K1R3R w - - 2 21,h1f1
r4rk1/pp4pp/3p4/2pPp1pQ/8/3P2P1/nPP4q/1K1R1R2 w - - 0 22,f1f8
r4k2/pp4pp/3p4/2pPp1pQ/8/3P2P1/nPP4q/1K1R4 w - - 0 23,d1f1
r5k1/pp4pp/3p4/2pPp1pQ/8/3P2P1/nPP4q/1K3R2 w - - 2 24,h5f7
r6k/pp3Qpp/3p4/2pPp1p1/8/3P2P1/nPP4q/1K3R2 w - - 4 25,f7b7
r6k/pQ4pp/3p4/2pPp1p1/8/3P2P1/nPq5/1K3R2 w - - 0 26,b1c2
1r5k/pQ4pp/3p4/2pPp1p1/8/3P2P1/nPK5/5R2 w - - 1 27,b7b8
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,e2e4
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,g1f3
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,b1c3
rnbqkbnr/pp3ppp/3p4/2p1p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 0 4,f1c4
rnbqkbnr/p4ppp/1p1p4/2p1p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 0 5,d2d3
rnbqkb1r/p4ppp/1p1p1n2/2p1p3/2B1P3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 1 6,f3g5
rn1qkb1r/p4ppp/1p1p1n2/2p1p1N1/2B1P1b1/2NP4/PPP2PPP/R1BQK2R w KQkq - 3 7,c4f7
rn1q1b1r/p3kBpp/1p1p1n2/2p1p1N1/4P1b1/2NP4/PPP2PPP/R1BQK2R w KQ - 1 8,c3d5
rn1q1b1r/p2k1Bpp/1p1p1n2/2pNp1N1/4P1b1/3P4/PPP2PPP/R1BQK2R w KQ - 3 9,f2f3
rn1q1b1r/p2k1Bpp/1p1p1n2/2pNp1Nb/4P3/3P1P2/PPP3PP/R1BQK2R w KQ - 1 10,g2g4
rn1q1b1r/p2k1bpp/1p1p1n2/2pNp1N1/4P1P1/3P1P2/PPP4P/R1BQK2R w KQ - 0 11,g5f7
rnq2b1r/p2k1Npp/1p1p1n2/2pNp3/4P1P1/3P1P2/PPP4P/R1BQK2R w KQ - 1 12,f7h8
rnq2b1N/p2k2pp/1p1p4/2pnp3/4P1P1/3P1P2/PPP4P/R1BQK2R w KQ - 0 13,e4d5
rnq2b1N/p2k2pp/3p4/1ppPp3/6P1/3P1P2/PPP4P/R1BQK2R w KQ - 0 14,f3f4
rn3b1N/pq1k2pp/3p4/1ppPp3/5PP1/3P4/PPP4P/R1BQK2R w KQ - 1 15,f4e5
rn3b1N/p2k2pp/3p4/1ppqP3/6P1/3P4/PPP4P/R1BQK2R w KQ - 0 16,c1g5
rn3b1N/p2k2pp/3p4/1pp1P1B1/6P1/3P4/PPP4P/R2QK2q w Q - 0 17,e1d2
rn3b1N/p2k2pp/3p4/1pp1P1B1/6P1/3P4/PPPK3q/R2Q4 w - - 0 18,d2c3
rn3b1N/p2k2pp/8/1pp1p1B1/6P1/2KP4/PPP4q/R2Q4 w - - 0 19,d1f3
rn5N/p2k2pp/3b4/1pp1p1B1/6P1/2KP1Q2/PPP4q/R7 w - - 2 20,f3f5
rn5N/p5pp/2kb4/1pp1pQB1/6P1/2KP4/PPP4q/R7 w - - 4 21,f5e4
rn5N/p5pp/1k1b4/1pp1p1B1/4Q1P1/2KP4/PPP4q/R7 w - - 6 22,e4a8
Qn5N/p5pp/1k1b4/2p1p1B1/1p4P1/2KP4/PPP4q/R7 w - - 0 23,c3b3
Qn5N/p5pp/1k1b4/4p1B1/1pp3P1/1K1P4/PPP4q/R7 w - - 0 24,b3c4
Qn5N/p5pp/1k1b4/4p1B1/1pK3P1/3P4/PPq5/R7 w - - 0 25,c4d5
Qn5N/p5pp/1k1b4/3Kp1B1/1p4P1/3q4/PP6/R7 w - - 0 26,d5e6
Qn5N/p5pp/1k1bK3/4p1B1/1p1q2P1/8/PP6/R7 w - - 2 27,g5d8
Qn1B3N/p5pp/3bK3/2k1p3/1p1q2P1/8/PP6/R7 w - - 4 28,a1c1
Qn1B3N/p5pp/3bK3/1k2p3/1p1q2P1/8/PP6/2R5 w - - 6 29,a8b7
1n1B3N/pQ4pp/3bK3/4p3/kp1q2P1/8/PP6/2R5 w - - 8 30,b2b3
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,e7e6
rnbqkbnr/pppp1ppp/4p3/8/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 1 2,c7c5
rnbqkbnr/pp1p1ppp/4p3/2pP4/8/2N5/PPP1PPPP/R1BQKBNR b KQkq - 0 3,e6e5
rnbqkbnr/pp1p1ppp/8/2pPp3/5P2/2N5/PPP1P1PP/R1BQKBNR b KQkq - 0 4,d7d6
rnbqkbnr/pp3ppp/3p4/2pPP3/8/2N5/PPP1P1PP/R1BQKBNR b KQkq - 0 5,d6e5
rnbqkbnr/pp3ppp/8/2pPp3/8/2N2N2/PPP1P1PP/R1BQKB1R b KQkq - 1 6,e5e4
rnbqkbnr/pp3ppp/8/2pP4/4N3/5N2/PPP1P1PP/R1BQKB1R b KQkq - 0 7,c8f5
rn1qkbnr/pp3ppp/8/2pP1b2/4N3/3Q1N2/PPP1P1PP/R1B1KB1R b KQkq - 2 8,d8e7
rn2kbnr/pp2qppp/8/1QpP1b2/4N3/5N2/PPP1P1PP/R1B1KB1R b KQkq - 4 9,f5d7
rn2kbnr/pQ1bqppp/8/2pP4/4N3/5N2/PPP1P1PP/R1B1KB1R b KQkq - 0 10,e7e4
Qn2kbnr/p2b1ppp/8/2pP4/4q3/5N2/PPP1P1PP/R1B1KB1R b KQk - 0 11,e8e7
1Q3bnr/p2bkppp/8/2pP4/4q3/5N2/PPP1P1PP/R1B1KB1R b KQ - 0 12,g8f6
5b1r/p2bkppp/5n2/2pPQ3/4q3/5N2/PPP1P1PP/R1B1KB1R b KQ - 2 13,e4e5
5b1r/p2bkppp/5n2/2pPN3/8/8/PPP1P1PP/R1B1KB1R b KQ - 0 14,c5c4
5b1r/p2Nkppp/5n2/3P4/2p5/8/PPP1P1PP/R1B1KB1R b KQ - 0 15,e7d7
5b1r/p2k1ppp/5n2/3P4/2p1P3/8/PPP3PP/R1B1KB1R b KQ - 0 16,f8b4
7r/p2k1ppp/5n2/3P4/1bp1P3/2P5/PP4PP/R1B1KB1R b KQ - 0 17,b4a5
7r/p2k1ppp/5n2/b2P4/2B1P3/2P5/PP4PP/R1B1K2R b KQ - 0 18,f6e4
7r/p2k1ppp/8/b2P4/2B1n3/2P5/PP4PP/R1B2RK1 b - - 1 19,a5b6
7r/p2k1ppp/1b6/3P4/2B1n3/2P5/PP4PP/R1B2R1K b - - 3 20,h8e8
4r3/p2k1ppp/1b6/1B1P4/4n3/2P5/PP4PP/R1B2R1K b - - 5 21,d7d6
